"","Subject","Condition","X2","T2","X1","T1","LaterOptionChosen"
"308",2,1,1.28,3,1,0,1
"309",2,1,1.28,4,1,0,1
"310",2,1,1.28,5,1,0,1
"311",2,1,1.28,6,1,0,1
"312",2,1,1.28,7,1,0,1
"313",2,1,1.01,2,1,0,1
"314",2,1,1.01,3,1,0,1
"315",2,1,1.01,4,1,0,1
"316",2,1,1.01,5,1,0,1
"317",2,1,1.01,6,1,0,1
"318",2,1,1.01,7,1,0,1
"319",2,1,1.58,2,1,0,1
"320",2,1,1.58,3,1,0,1
"321",2,1,1.58,4,1,0,1
"322",2,1,1.58,5,1,0,1
"323",2,1,1.58,6,1,0,1
"324",2,1,1.58,7,1,0,1
"325",2,1,1.39,2,1,0,1
"326",2,1,1.39,3,1,0,1
"327",2,1,1.39,4,1,0,1
"328",2,1,1.39,5,1,0,1
"329",2,1,1.39,6,1,0,1
"330",2,1,1.39,7,1,0,1
"331",2,1,1.38,2,1,0,1
"332",2,1,1.38,3,1,0,1
"333",2,1,1.38,4,1,0,1
"334",2,1,1.38,5,1,0,1
"335",2,1,1.38,6,1,0,1
"336",2,1,1.38,7,1,0,1
"337",2,1,1.13,2,1,0,1
"338",2,1,1.13,3,1,0,1
"339",2,1,1.13,4,1,0,1
"340",2,1,1.13,5,1,0,1
"341",2,1,1.13,6,1,0,1
"342",2,1,1.13,7,1,0,1
"343",2,1,1.09,2,1,0,1
"344",2,1,1.09,3,1,0,1
"345",2,1,1.09,4,1,0,1
"346",2,1,1.09,5,1,0,1
"347",2,1,1.09,6,1,0,1
"348",2,1,1.09,7,1,0,1
"349",2,1,1.31,2,1,0,1
"350",2,1,1.31,3,1,0,1
"351",2,1,1.31,4,1,0,1
"352",2,1,1.31,5,1,0,1
"353",2,1,1.31,6,1,0,1
"354",2,1,1.31,7,1,0,1
"355",2,1,1.14,2,1,0,1
"356",2,1,1.14,3,1,0,1
"357",2,1,1.14,4,1,0,1
"358",2,1,1.14,5,1,0,1
"359",2,1,1.14,6,1,0,1
"360",2,1,1.14,7,1,0,1
"361",2,1,1.6,2,1,0,1
"362",2,1,1.6,3,1,0,1
"363",2,1,1.6,4,1,0,1
"364",2,1,1.6,5,1,0,1
"365",2,1,1.6,6,1,0,1
"366",2,1,1.6,7,1,0,1
"367",2,1,1.08,2,1,0,1
"368",2,1,1.08,3,1,0,1
"369",2,1,1.08,4,1,0,1
"370",2,1,1.08,5,1,0,1
"371",2,1,1.08,6,1,0,1
"372",2,1,1.08,7,1,0,1
"373",2,1,1.21,2,1,0,1
"374",2,1,1.21,3,1,0,1
"375",2,1,1.21,4,1,0,1
"376",2,1,1.21,5,1,0,1
"377",2,1,1.21,6,1,0,1
"378",2,1,1.21,7,1,0,1
"379",2,1,1.19,2,1,0,1
"380",2,1,1.19,3,1,0,1
"381",2,1,1.19,4,1,0,1
"382",2,1,1.19,5,1,0,1
"383",2,1,1.19,6,1,0,1
"384",2,1,1.19,7,1,0,1
"385",2,1,1.4,2,1,0,1
"386",2,1,1.4,3,1,0,1
"387",2,1,1.4,4,1,0,1
"388",2,1,1.4,5,1,0,1
"389",2,1,1.4,6,1,0,1
"390",2,1,1.4,7,1,0,1
"391",2,1,1.56,2,1,0,1
"392",2,1,1.56,3,1,0,1
"393",2,1,1.56,4,1,0,1
"394",2,1,1.56,5,1,0,1
"395",2,1,1.56,6,1,0,1
"396",2,1,1.56,7,1,0,1
"397",2,1,1.23,2,1,0,1
"398",2,1,1.23,3,1,0,1
"399",2,1,1.23,4,1,0,1
"400",2,1,1.23,5,1,0,1
"401",2,1,1.23,6,1,0,1
"402",2,1,1.23,7,1,0,1
"403",2,1,1.2,2,1,0,1
"404",2,1,1.2,3,1,0,1
"405",2,1,1.2,4,1,0,1
"406",2,1,1.2,5,1,0,1
"407",2,1,1.2,6,1,0,1
"408",2,1,1.2,7,1,0,1
"409",2,1,1.29,2,1,0,1
"410",2,1,1.29,3,1,0,1
"411",2,1,1.29,4,1,0,1
"412",2,1,1.29,5,1,0,1
"413",2,1,1.29,6,1,0,1
"414",2,1,1.29,7,1,0,1
"415",2,1,1.43,2,1,0,1
"416",2,1,1.43,3,1,0,1
"417",2,1,1.43,4,1,0,1
"418",2,1,1.43,5,1,0,1
"419",2,1,1.43,6,1,0,1
"420",2,1,1.43,7,1,0,1
"421",2,1,1.34,2,1,0,1
"422",2,1,1.34,3,1,0,1
"423",2,1,1.34,4,1,0,1
"424",2,1,1.34,5,1,0,1
"425",2,1,1.34,6,1,0,1
"426",2,1,1.34,7,1,0,1
"427",2,1,1.47,2,1,0,1
"428",2,1,1.47,3,1,0,1
"429",2,1,1.47,4,1,0,1
"430",2,1,1.47,5,1,0,1
"431",2,1,1.47,6,1,0,1
"432",2,1,1.47,7,1,0,1
"433",2,1,1.22,2,1,0,1
"434",2,1,1.22,3,1,0,1
"435",2,1,1.22,4,1,0,1
"436",2,1,1.22,5,1,0,1
