Subject,Condition,X2,T2,X1,T1,LaterOptionChosen
20,1,-2,365,-10,0,1
20,1,-4,365,-10,0,1
20,1,-6,365,-10,0,1
20,1,-8,365,-10,0,1
20,1,-10,365,-10,0,0
20,1,-12,365,-10,0,0
20,1,-14,365,-10,0,0
20,1,-16,365,-10,0,0
20,1,-18,365,-10,0,0
21,1,2,365,10,0,0
21,1,4,365,10,0,0
21,1,6,365,10,0,0
21,1,8,365,10,0,0
21,1,10,365,10,0,0
21,1,12,365,10,0,1
21,1,14,365,10,0,1
21,1,16,365,10,0,1
21,1,18,365,10,0,1
21,1,-2,365,-10,0,1
21,1,-4,365,-10,0,1
21,1,-6,365,-10,0,1
21,1,-8,365,-10,0,1
21,1,-10,365,-10,0,1
21,1,-12,365,-10,0,0
21,1,-14,365,-10,0,0
21,1,-16,365,-10,0,0
21,1,-18,365,-10,0,0
22,1,2,365,10,0,0
22,1,4,365,10,0,0
22,1,6,365,10,0,0
22,1,8,365,10,0,0
22,1,10,365,10,0,0
22,1,12,365,10,0,1
22,1,14,365,10,0,1
22,1,16,365,10,0,1
22,1,18,365,10,0,1
22,1,-2,365,-10,0,1
22,1,-4,365,-10,0,1
22,1,-6,365,-10,0,1
22,1,-8,365,-10,0,1
22,1,-10,365,-10,0,0
22,1,-12,365,-10,0,0
22,1,-14,365,-10,0,0
22,1,-16,365,-10,0,0
22,1,-18,365,-10,0,0
23,1,2,365,10,0,0
23,1,4,365,10,0,0
23,1,6,365,10,0,0
23,1,8,365,10,0,0
23,1,10,365,10,0,0
23,1,12,365,10,0,0
23,1,14,365,10,0,0
23,1,16,365,10,0,0
23,1,18,365,10,0,0
23,1,-2,365,-10,0,0
23,1,-4,365,-10,0,0
23,1,-6,365,-10,0,0
23,1,-8,365,-10,0,0
23,1,-10,365,-10,0,0
23,1,-12,365,-10,0,0
23,1,-14,365,-10,0,0
23,1,-16,365,-10,0,0
23,1,-18,365,-10,0,0
24,1,2,365,10,0,0
24,1,4,365,10,0,0
24,1,6,365,10,0,0
24,1,8,365,10,0,0
24,1,10,365,10,0,0
24,1,12,365,10,0,0
24,1,14,365,10,0,1
24,1,16,365,10,0,1
24,1,18,365,10,0,1
24,1,-2,365,-10,0,1
24,1,-4,365,-10,0,1
24,1,-6,365,-10,0,1
24,1,-8,365,-10,0,1
24,1,-10,365,-10,0,1
24,1,-12,365,-10,0,0
24,1,-14,365,-10,0,0
24,1,-16,365,-10,0,0
24,1,-18,365,-10,0,0
25,1,2,365,10,0,0
25,1,4,365,10,0,0
25,1,6,365,10,0,0
25,1,8,365,10,0,0
25,1,10,365,10,0,0
25,1,12,365,10,0,0
25,1,14,365,10,0,0
25,1,16,365,10,0,0
25,1,18,365,10,0,1
25,1,-2,365,-10,0,1
25,1,-4,365,-10,0,1
25,1,-6,365,-10,0,1
25,1,-8,365,-10,0,1
25,1,-10,365,-10,0,1
25,1,-12,365,-10,0,0
25,1,-14,365,-10,0,0
25,1,-16,365,-10,0,0
25,1,-18,365,-10,0,0
26,1,2,365,10,0,0
26,1,4,365,10,0,0
26,1,6,365,10,0,0
26,1,8,365,10,0,0
26,1,10,365,10,0,0
26,1,12,365,10,0,0
26,1,14,365,10,0,0
26,1,16,365,10,0,0
26,1,18,365,10,0,0
26,1,-2,365,-10,0,1
26,1,-4,365,-10,0,1
26,1,-6,365,-10,0,1
26,1,-8,365,-10,0,1
26,1,-10,365,-10,0,0
26,1,-12,365,-10,0,0
26,1,-14,365,-10,0,0
26,1,-16,365,-10,0,0
26,1,-18,365,-10,0,0
27,1,2,365,10,0,0
27,1,4,365,10,0,0
27,1,6,365,10,0,0
27,1,8,365,10,0,0
27,1,10,365,10,0,0
27,1,12,365,10,0,1
27,1,14,365,10,0,1
27,1,16,365,10,0,1
27,1,18,365,10,0,1
27,1,-2,365,-10,0,1
27,1,-4,365,-10,0,1
27,1,-6,365,-10,0,1
27,1,-8,365,-10,0,1
27,1,-10,365,-10,0,0
27,1,-12,365,-10,0,0
27,1,-14,365,-10,0,0
27,1,-16,365,-10,0,0
27,1,-18,365,-10,0,0
28,1,2,365,10,0,0
28,1,4,365,10,0,0
28,1,6,365,10,0,0
28,1,8,365,10,0,0
28,1,10,365,10,0,0
28,1,12,365,10,0,0
28,1,14,365,10,0,1
28,1,16,365,10,0,1
28,1,18,365,10,0,1
28,1,-2,365,-10,0,1
28,1,-4,365,-10,0,1
28,1,-6,365,-10,0,1
28,1,-8,365,-10,0,1
28,1,-10,365,-10,0,0
28,1,-12,365,-10,0,0
28,1,-14,365,-10,0,0
28,1,-16,365,-10,0,0
28,1,-18,365,-10,0,0
29,1,2,365,10,0,0
29,1,4,365,10,0,0
29,1,6,365,10,0,0
29,1,8,365,10,0,0
29,1,10,365,10,0,0
29,1,12,365,10,0,0
29,1,14,365,10,0,0
29,1,16,365,10,0,0
29,1,18,365,10,0,0
29,1,-2,365,-10,0,0
29,1,-4,365,-10,0,0
29,1,-6,365,-10,0,0
29,1,-8,365,-10,0,0
29,1,-10,365,-10,0,0
29,1,-12,365,-10,0,0
29,1,-14,365,-10,0,0
29,1,-16,365,-10,0,0
29,1,-18,365,-10,0,0
30,1,2,365,10,0,0
30,1,4,365,10,0,0
30,1,6,365,10,0,0
30,1,8,365,10,0,0
30,1,10,365,10,0,0
30,1,12,365,10,0,0
30,1,14,365,10,0,0
30,1,16,365,10,0,1
30,1,18,365,10,0,1
30,1,-2,365,-10,0,1
30,1,-4,365,-10,0,1
30,1,-6,365,-10,0,1
30,1,-8,365,-10,0,1
30,1,-10,365,-10,0,1
30,1,-12,365,-10,0,1
30,1,-14,365,-10,0,0
30,1,-16,365,-10,0,0
30,1,-18,365,-10,0,0
31,1,2,365,10,0,0
31,1,4,365,10,0,0
31,1,6,365,10,0,0
31,1,8,365,10,0,0
31,1,10,365,10,0,0
31,1,12,365,10,0,0
31,1,14,365,10,0,0
31,1,16,365,10,0,0
31,1,18,365,10,0,0
31,1,-2,365,-10,0,1
31,1,-4,365,-10,0,1
31,1,-6,365,-10,0,0
31,1,-8,365,-10,0,0
31,1,-10,365,-10,0,0
31,1,-12,365,-10,0,0
31,1,-14,365,-10,0,0
31,1,-16,365,-10,0,0
31,1,-18,365,-10,0,0
32,1,2,365,10,0,0
32,1,4,365,10,0,0
32,1,6,365,10,0,0
32,1,8,365,10,0,0
32,1,10,365,10,0,0
32,1,12,365,10,0,0
32,1,14,365,10,0,0
32,1,16,365,10,0,0
32,1,18,365,10,0,0
32,1,-2,365,-10,0,1
32,1,-4,365,-10,0,1
32,1,-6,365,-10,0,1
32,1,-8,365,-10,0,0
32,1,-10,365,-10,0,0
32,1,-12,365,-10,0,0
32,1,-14,365,-10,0,0
32,1,-16,365,-10,0,0
32,1,-18,365,-10,0,0
33,1,2,365,10,0,0
33,1,4,365,10,0,0
33,1,6,365,10,0,0
33,1,8,365,10,0,0
33,1,10,365,10,0,0
33,1,12,365,10,0,0
33,1,14,365,10,0,0
33,1,16,365,10,0,0
33,1,18,365,10,0,0
33,1,-2,365,-10,0,0
33,1,-4,365,-10,0,0
33,1,-6,365,-10,0,0
33,1,-8,365,-10,0,0
33,1,-10,365,-10,0,0
33,1,-12,365,-10,0,0
33,1,-14,365,-10,0,0
33,1,-16,365,-10,0,0
33,1,-18,365,-10,0,0
34,1,2,365,10,0,0
34,1,4,365,10,0,0
34,1,6,365,10,0,0
34,1,8,365,10,0,0
34,1,10,365,10,0,0
34,1,12,365,10,0,0
34,1,14,365,10,0,0
34,1,16,365,10,0,0
34,1,18,365,10,0,0
34,1,-2,365,-10,0,0
34,1,-4,365,-10,0,0
34,1,-6,365,-10,0,0
34,1,-8,365,-10,0,0
34,1,-10,365,-10,0,0
34,1,-12,365,-10,0,0
34,1,-14,365,-10,0,0
34,1,-16,365,-10,0,0
34,1,-18,365,-10,0,0
35,1,2,365,10,0,0
35,1,4,365,10,0,0
35,1,6,365,10,0,0
35,1,8,365,10,0,0
35,1,10,365,10,0,0
35,1,12,365,10,0,0
35,1,14,365,10,0,0
35,1,16,365,10,0,1
35,1,18,365,10,0,1
35,1,-2,365,-10,0,1
35,1,-4,365,-10,0,1
35,1,-6,365,-10,0,0
35,1,-8,365,-10,0,0
35,1,-10,365,-10,0,0
35,1,-12,365,-10,0,0
35,1,-14,365,-10,0,0
35,1,-16,365,-10,0,0
35,1,-18,365,-10,0,0
36,1,2,365,10,0,0
36,1,4,365,10,0,0
36,1,6,365,10,0,0
36,1,8,365,10,0,0
36,1,10,365,10,0,0
36,1,12,365,10,0,0
36,1,14,365,10,0,0
36,1,16,365,10,0,0
36,1,18,365,10,0,0
36,1,-2,365,-10,0,0
36,1,-4,365,-10,0,0
36,1,-6,365,-10,0,0
36,1,-8,365,-10,0,0
36,1,-10,365,-10,0,0
36,1,-12,365,-10,0,0
36,1,-14,365,-10,0,0
36,1,-16,365,-10,0,0
36,1,-18,365,-10,0,0
37,1,2,365,10,0,0
37,1,4,365,10,0,0
37,1,6,365,10,0,0
37,1,8,365,10,0,0
37,1,10,365,10,0,0
37,1,12,365,10,0,0
37,1,14,365,10,0,1
37,1,16,365,10,0,1
37,1,18,365,10,0,1
37,1,-2,365,-10,0,1
37,1,-4,365,-10,0,1
37,1,-6,365,-10,0,1
37,1,-8,365,-10,0,1
37,1,-10,365,-10,0,1
37,1,-12,365,-10,0,0
37,1,-14,365,-10,0,0
37,1,-16,365,-10,0,0
37,1,-18,365,-10,0,0
38,1,2,365,10,0,0
38,1,4,365,10,0,0
38,1,6,365,10,0,0
38,1,8,365,10,0,0
38,1,10,365,10,0,0
38,1,12,365,10,0,1
38,1,14,365,10,0,1
38,1,16,365,10,0,1
38,1,18,365,10,0,1
38,1,-2,365,-10,0,1
38,1,-4,365,-10,0,1
38,1,-6,365,-10,0,1
38,1,-8,365,-10,0,1
38,1,-10,365,-10,0,1
38,1,-12,365,-10,0,0
38,1,-14,365,-10,0,0
38,1,-16,365,-10,0,0
38,1,-18,365,-10,0,0
39,1,2,365,10,0,0
39,1,4,365,10,0,0
39,1,6,365,10,0,0
39,1,8,365,10,0,0
39,1,10,365,10,0,0
39,1,12,365,10,0,1
39,1,14,365,10,0,1
39,1,16,365,10,0,1
39,1,18,365,10,0,1
39,1,-2,365,-10,0,1
39,1,-4,365,-10,0,1
39,1,-6,365,-10,0,1
39,1,-8,365,-10,0,1
39,1,-10,365,-10,0,0
39,1,-12,365,-10,0,0
39,1,-14,365,-10,0,0
39,1,-16,365,-10,0,0
39,1,-18,365,-10,0,0
40,1,2,365,10,0,0
40,1,4,365,10,0,0
40,1,6,365,10,0,0
40,1,8,365,10,0,0
40,1,10,365,10,0,0
40,1,12,365,10,0,0
40,1,14,365,10,0,0
40,1,16,365,10,0,0
40,1,18,365,10,0,0
40,1,-2,365,-10,0,1
40,1,-4,365,-10,0,1
40,1,-6,365,-10,0,1
40,1,-8,365,-10,0,1
40,1,-10,365,-10,0,0
40,1,-12,365,-10,0,0
40,1,-14,365,-10,0,0
40,1,-16,365,-10,0,0
40,1,-18,365,-10,0,0
41,1,2,365,10,0,0
41,1,4,365,10,0,0
41,1,6,365,10,0,0
41,1,8,365,10,0,0
41,1,10,365,10,0,0
41,1,12,365,10,0,0
41,1,14,365,10,0,0
41,1,16,365,10,0,1
41,1,18,365,10,0,1
41,1,-2,365,-10,0,1
41,1,-4,365,-10,0,1
41,1,-6,365,-10,0,0
41,1,-8,365,-10,0,0
41,1,-10,365,-10,0,0
41,1,-12,365,-10,0,0
